Doc2Vec K Sweep Summary
K values: 3, 5, 8, 10, 20, 50, 100
Skipped (invalid for n_docs): 200

Config      Vec   K     Sil      DB        CH  AvgIntra  Min  Max  Ratio Singles
------------------------------------------------------------------------------------------
d2v_vs50     50   3  0.9368  0.7279     59.89    0.9561    1  197 197.00       1
d2v_vs50     50   5  0.8614  0.1608     46.78    0.9677    1  196 196.00       4
d2v_vs50     50   8  0.7884  0.1986     37.46    0.9732    1  193 193.00       7
d2v_vs50     50  10  0.6831  0.6349     32.07    0.9742    1  189 189.00       8
d2v_vs50     50  20  0.0068  1.1940     21.91    0.9805    1   80  80.00      16
d2v_vs50     50  50  0.0109  0.9219     14.70    0.9884    1   69  69.00      41
d2v_vs50     50 100 -0.0584  0.7209     12.16    0.9948    1   33  33.00      90
d2v_vs100   100   3  0.9590  0.4737    125.28    0.9736    1  197 197.00       1
d2v_vs100   100   5  0.8784  0.1305     95.63    0.9826    1  196 196.00       4
d2v_vs100   100   8  0.6290  0.2197     67.32    0.9851    1  193 193.00       7
d2v_vs100   100  10  0.5644  1.0396     55.62    0.9852    1  183 183.00       7
d2v_vs100   100  20  0.0220  1.3198     35.55    0.9889    1   94  94.00      17
d2v_vs100   100  50 -0.0836  0.8412     22.47    0.9935    1  101 101.00      45
d2v_vs100   100 100 -0.0320  0.6348     18.27    0.9972    1   70  70.00      96
d2v_vs200   200   3  0.9667  0.5257    178.94    0.9801    1  197 197.00       1
d2v_vs200   200   5  0.8798  0.1194    175.75    0.9908    1  196 196.00       4
d2v_vs200   200   8  0.6581  0.2254    113.53    0.9918    1  193 193.00       7
d2v_vs200   200  10  0.3047  1.2072     95.99    0.9923    1  178 178.00       8
d2v_vs200   200  20  0.3388  0.8807     57.64    0.9938    1  176 176.00      17
d2v_vs200   200  50  0.1592  0.4306     35.93    0.9967    1  151 151.00      49
d2v_vs200   200 100 -0.0481  0.7296     27.95    0.9985    1   38  38.00      96
